COUNTRY_SHORT_NAME,COUNTRY_ALPHA_3_CODE,lat,lng,pop
Tajikistan,TJK,38.367,72.597,9321023
Tanzania,TZA,-5.651,34.146,58005461
Thailand,THA,15.688,100.845,69625581
Timor-Leste,TLS,-8.856,125.556,129312
Togo,TGO,7.7,1.106,8082359
Trinidad and Tobago,TTO,10.4435,-61.2604,1394969
Tunisia,TUN,35.594,9.421,11694721
Turkey,TUR,39.144,34.188,83429607
Turks and Caicos Islands,TCA,21.7779,-71.7592,38194
Uganda,UGA,1.9392,32.7415,44269587
Ukraine,UKR,49.364,32.132,43993643
United Arab Emirates,ARE,23.9299,53.9031,9770526
United Kingdom,GBR,52.289,-1.259,67530161
United States,USA,32.5081,-86.6513,55869
United States,USA,30.7725,-87.7842,223234
United States,USA,31.8832,-85.3931,24686
United States,USA,33.0388,-87.0967,22394
United States,USA,34.0126,-86.5339,57826
United States,USA,32.0945,-85.7131,10101
United States,USA,31.7404,-86.6759,19448
United States,USA,33.7625,-85.8417,113605
United States,USA,32.9225,-85.3942,33254
United States,USA,34.2345,-85.6478,26196
United States,USA,32.8658,-86.665,44428
United States,USA,32.0048,-88.286,12589
United States,USA,31.5888,-87.8145,23622
United States,USA,33.2947,-85.8155,13235
United States,USA,33.7164,-85.4945,14910
United States,USA,31.399,-85.993,52342
United States,USA,34.7368,-87.5953,55241
United States,USA,31.4682,-86.9508,12067
United States,USA,32.9278,-86.2616,10663
United States,USA,31.2565,-86.4472,37049
United States,USA,31.7415,-86.2967,13772
United States,USA,34.0862,-86.9042,83768
United States,USA,31.4079,-85.6038,49172
United States,USA,32.3888,-87.1278,37196
United States,USA,34.5306,-85.7226,71513
United States,USA,32.5877,-86.1519,81209
United States,USA,31.1268,-87.158,36633
United States,USA,34.0211,-86.0433,102268
United States,USA,33.7201,-87.7385,16302
United States,USA,34.4509,-87.844,31362
United States,USA,31.0954,-85.839,26271
United States,USA,32.8362,-88.0005,8111
United States,USA,32.7441,-87.6382,14651
United States,USA,31.5417,-85.2284,17205
United States,USA,31.1562,-85.2809,105882
United States,USA,34.7224,-86.0339,51626
United States,USA,33.5455,-86.8602,658573
United States,USA,33.7932,-88.0966,13805
United States,USA,34.87,-87.5844,92729
United States,USA,34.5516,-87.3181,32924
United States,USA,32.5787,-85.3621,164542
United States,USA,34.7752,-87.0313,98915
United States,USA,32.1852,-86.6581,9726
United States,USA,32.4142,-85.7275,18068
United States,USA,34.7333,-86.5722,372909
United States,USA,32.269,-87.7608,18863
United States,USA,34.1214,-87.918,29709
United States,USA,34.3531,-86.3454,96774
United States,USA,30.7466,-88.2172,413210
United States,USA,31.5303,-87.3817,20733
United States,USA,32.2329,-86.2039,226486
United States,USA,34.4947,-86.834,119679
United States,USA,32.5916,-87.2881,8923
United States,USA,33.2663,-88.0727,19930
United States,USA,31.8394,-85.9279,33114
United States,USA,33.3006,-85.4599,22722
United States,USA,32.2863,-85.1791,57961
United States,USA,33.2829,-86.6796,217702
United States,USA,33.6907,-86.3647,89512
United States,USA,32.6525,-88.2171,12427
United States,USA,33.402,-86.1457,79978
United States,USA,32.8004,-85.7978,40367
United States,USA,33.3076,-87.5001,209355
United States,USA,33.7599,-87.2766,63521
United States,USA,31.4071,-88.1879,16326
United States,USA,32.0483,-87.4009,10373
United States,USA,34.151,-87.3736,23629
United States,USA,55.8579,-161.4064,3337
United States,USA,53.6298,-166.6587,5634
United States,USA,61.1094,-149.2032,288000
United States,USA,60.4765,-160.8218,18386
United States,USA,58.753,-156.6908,836
United States,USA,63.5543,-149.9189,2097
United States,USA,59.7435,-158.1036,4916
United States,USA,64.8624,-146.3565,96849
United States,USA,58.9776,-135.4912,2530
United States,USA,58.3893,-134.411,31974
United States,USA,60.1107,-150.509,58708
United States,USA,55.5925,-130.4203,13901
United States,USA,57.377,-153.1926,12998
United States,USA,62.1211,-163.3051,8314
United States,USA,58.3702,-156.0031,1592
United States,USA,62.3637,-149.7135,108317
United States,USA,64.8563,-163.8418,10004
United States,USA,35.3032,-118.7204,900202
United States,USA,36.1391,-119.7718,152940
United States,USA,39.1258,-122.7929,64386
United States,USA,40.4545,-120.6616,30573
United States,USA,34.2663,-118.1424,10039107
United States,USA,31.8901,-109.7497,125922
United States,USA,35.6465,-112.0424,143476
United States,USA,33.7446,-110.685,54018
United States,USA,33.0361,-109.958,38837
United States,USA,33.1001,-109.2714,9498
United States,USA,33.6724,-113.9329,21108
United States,USA,33.2798,-112.7681,4485414
United States,USA,35.6177,-113.9958,212181
United States,USA,35.3134,-110.2972,110924
United States,USA,31.9681,-111.7806,1047279
United States,USA,32.9849,-111.4931,462789
United States,USA,31.5332,-110.812,46498
United States,USA,34.7064,-112.4429,235099
United States,USA,44.5033,-87.6245,20434
United States,USA,43.9075,-91.1276,118016
United States,USA,42.6602,-90.1317,16665
United States,USA,45.2517,-89.0523,19189
United States,USA,45.3385,-89.7354,27593
United States,USA,44.1103,-87.8415,78981
United States,USA,44.8951,-89.7693,135692
United States,USA,45.382,-88.1503,40350
United States,USA,43.8129,-89.3981,15574
United States,USA,44.9899,-88.7347,4556
United States,USA,43.0178,-87.9818,945726
United States,USA,43.9434,-90.6118,46253
United States,USA,45.0268,-88.3037,37930
United States,USA,45.6879,-89.5447,35595
United States,USA,44.419,-88.4637,187885
United States,USA,43.3679,-87.9585,89221
United States,USA,44.5458,-92.0873,7287
United States,USA,44.7034,-92.4259,42754
United States,USA,45.4696,-92.4193,43783
United States,USA,44.4745,-89.475,70772
United States,USA,45.6691,-90.3605,13351
United States,USA,42.7271,-88.0428,196311
United States,USA,43.3664,-90.4289,17252
United States,USA,42.6692,-89.072,163354
United States,USA,45.4691,-91.1092,14178
United States,USA,43.3945,-89.8965,64442
United States,USA,45.902,-91.1097,16558
United States,USA,44.8071,-88.7375,40899
United States,USA,43.715,-87.9328,115340
United States,USA,45.0351,-92.4543,90687
United States,USA,45.2065,-90.4856,20343
United States,USA,44.2856,-91.3478,29649
United States,USA,43.5769,-90.7714,30822
United States,USA,46.0789,-89.4371,22195
United States,USA,42.6678,-88.5413,103868
United States,USA,45.9017,-91.7871,15720
United States,USA,43.3686,-88.2293,136034
United States,USA,43.0181,-88.3044,404198
United States,USA,44.4525,-88.9801,50990
United States,USA,44.1173,-89.2418,24443
United States,USA,44.0677,-88.6452,171907
United States,USA,44.4689,-90.0212,72999
United States,USA,41.723,-105.6758,38880
United States,USA,44.5851,-107.9869,11790
United States,USA,44.2546,-105.5503,46341
United States,USA,41.7236,-106.7915,14800
United States,USA,42.8966,-105.4856,13822
United States,USA,44.5882,-104.5708,7584
United States,USA,43.1414,-108.5719,39261
United States,USA,42.0853,-104.3534,13211
United States,USA,43.7705,-108.602,4413
United States,USA,44.0303,-106.5693,8445
United States,USA,41.3266,-104.6666,99500
United States,USA,42.4553,-110.8185,19830
United States,USA,42.9727,-106.7878,79858
United States,USA,43.0474,-104.4755,2356
United States,USA,44.4063,-109.4153,29194
United States,USA,42.1314,-104.9676,8393
United States,USA,44.7798,-106.9037,30485
United States,USA,42.8671,-109.9565,9831
United States,USA,41.6405,-108.9887,42343
United States,USA,43.9385,-110.5501,23464
United States,USA,41.3156,-110.5477,20226
United States,USA,43.8356,-107.6602,7805
United States,USA,43.8403,-104.5684,6927
Uruguay,URY,-32.948,-56.249,3461731
Uzbekistan,UZB,41.757,63.958,32981715
Vanuatu,VUT,-15.339,166.89,2998872
Venezuela,VEN,6.983,-64.588,28515829
Vietnam,VNM,21.75,105.373,96462108
West Bank and Gaza,PSE,32.097,35.26,4981422
Yemen,YEM,15.569,47.793,29161922
Zambia,ZMB,-15.13,25.268,17861034
Zimbabwe,ZWE,-19.098,30.047,14645473
India,Delhi,28.66,77.23,16753235
India,Mumbai,18.9667,72.8333,12478447
India,Kolkāta,22.5411,88.3378,4496694
India,Bangalore,12.9699,77.598,8443675
India,Chennai,13.0825,80.275,6727000
India,Hyderābād,17.3667,78.4667,6993262
India,Pune,18.5196,73.8553,3124458
India,Ahmadābād,23.03,72.58,5570585
India,Sūrat,21.17,72.83,4466826
India,Lucknow,26.847,80.947,3382000
India,Jaipur,26.9167,75.8667,3073350
India,Cawnpore,26.4725,80.3311,2701324
India,Mirzāpur,25.15,82.58,2496970
India,Nāgpur,21.1539,79.0831,2405665
India,Ghāziābād,28.6667,77.4167,2381452
India,Indore,22.7206,75.8472,2201927
India,Vadodara,22.3,73.2,2065771
India,Vishākhapatnam,17.7333,83.3167,2035922
India,Bhopāl,23.25,77.4167,1883381
India,Chinchvad,18.6278,73.8131,1729320
India,Patna,25.61,85.1414,1684222
India,Ludhiāna,30.9083,75.8486,1545368
India,Āgra,27.18,78.02,1585705
India,Kalyān,19.2502,73.1602,1576614
India,Madurai,9.9197,78.1194,1561129
India,Jamshedpur,22.8,86.1833,1558000
India,Nāsik,20,73.7833,1486053
India,Farīdābād,28.4333,77.3167,1394000
India,Aurangābād,19.88,75.32,1371330
India,Rājkot,22.2969,70.7984,1335397
India,Meerut,28.99,77.7,1305429
India,Jabalpur,23.1667,79.9333,1267564
India,Thāne,19.18,72.9633,1261517
India,Dhanbād,23.7928,86.435,219636
India,Allahābād,25.455,81.84,1073438
India,Vārānasi,25.3189,83.0128,1198491
India,Srīnagar,34.0911,74.8061,1180570
India,Amritsar,31.6167,74.85,1132383
India,Alīgarh,27.88,78.08,1131160
India,Bhiwandi,19.3,73.0667,1125898
India,Gwalior,26.215,78.1931,1101981
India,Bhilai,21.2167,81.4333,1097000
India,Hāora,22.59,88.31,1077075
India,Rānchi,23.3556,85.3347,1073440
India,Bezwāda,16.5167,80.6167,1048240
India,Chandīgarh,30.7353,76.7911,1026459
India,Mysore,12.3086,76.6531,1014227
India,Raipur,21.2379,81.6337,1010087
India,Kota,25.18,75.83,1001694
India,Bareilly,28.364,79.415,1000000
India,Jodhpur,26.2918,73.0168,921476
India,Coimbatore,11,76.9667,959823
India,Dispur,26.15,91.77,957352
India,Guwāhāti,26.1667,91.7667,957352
India,Solāpur,17.6833,75.9167,951558
India,Trichinopoly,10.8269,78.6928,916857
India,Hubli,15.36,75.125,792804
India,Jalandhar,31.3256,75.5792,873725
India,Bhubaneshwar,20.2644,85.8281,837737
India,Bhayandar,19.3,72.85,814655
India,Morādābād,28.8418,78.7568,721139
India,Kolhāpur,16.7,74.2333,561841
India,Thiruvananthapuram,8.5,76.8997,743691
India,Sahāranpur,29.964,77.546,705478
India,Warangal,17.9756,79.6011,704570
India,Salem,11.65,78.1667,693236
India,Mālegaon,20.55,74.55,435362
India,Kochi,9.9667,76.2833,677381
India,Gorakhpur,26.7611,83.3667,673446
India,Shimoga,13.9304,75.56,319550
India,Tiruppūr,11.1075,77.3398,444543
India,Guntūr,16.3,80.45,647508
India,Raurkela,22.2492,84.8828,483629
India,Mangalore,12.8703,74.8806,623841
India,Nānded,19.15,77.3333,550564
India,Cuttack,20.45,85.8667,606007
India,Chānda,19.95,79.3,328351
India,Dehra Dūn,30.318,78.029,578420
India,Durgāpur,23.55,87.32,566517
India,Āsansol,23.6833,86.9667,563917
India,Bhāvnagar,21.765,72.1369,464602
India,Amrāvati,20.9333,77.75,549370
India,Nellore,14.4333,79.9667,547621
India,Ajmer,26.468,74.639,542321
India,Tinnevelly,8.7289,77.7081,435844
